,text
0,"For those people I always tell them ""I have good news...""  Saying that you actually have good news usually causes them to be quiet so they can hear the good news you're about to give them"
1,"That's a smart operation, right there. Nice going :)"
2,LOL she fucked herself over
3,When I saw the title I thought this was going to go in a (ahem) gynecological direction
4,"If your explanation to her is always ""sorry we ordered it but you didn't pick it up and someone else bought it"" I think you could skip the step where you actually order the item.

The outcome would be the same.   "
5,He was trying to frame you.
6,"Wait a minute, you sold him a power saw that electrocuted him when he cuts through the cord? Are you TRYING to kill him!?"
7,"Bonus points if you say ""Good news, everybody!"" in a Professor Farnsworth voice. "
8,"At that point, you should have broken the news that perhaps her husband has been lying to her all these years ;)"
9,"They do it often in the UK. I used to work in a pub in a small town and we were one of 6 and all the landlords would message each other whenever they found out what was happening.   
One time my boss got the message and sure enough 10 minutes later in walks the teenager matching the description. Boss looked at him and said ""FUCK OFF"" and pointed to the door. He turned on his heels and walked out. "
10,"Ugh! My dressing room in a department store story is far worse. I was picking up a pile of clothing on the women's side and stuck my hand into something wet. It was some woman's used pad. I died a little that day. 

Seriously though, what sort of disgusting human being leaves a nasty used pad in ball of clothing? I didn't go to work prepared to worry about whatever blood borne diseases that trash human being felt like spreading to the greater populace."
11,"Pretty much.  There were ways to find the receipts even without her name, but it was one of those things that you could only do if you actually thought about how it worked instead of just blindly following procedure."
12,Imagine if some poor guy who looked similar walked in and experienced that 
13,With a customer like that I'm just gonna blindly follow procedure. 
14,I pocketed it and spent it.
15,Some poor kid who just turned 18 finally able to go out to a pub. Nervous as it their first time and immediately told to fuck off.
16,"She might have too many cents, but she's lacking in sense......."
