,text
0,I need a refund because I'm stupid.
1,"Assuming she drove there, she essentially *paid* to come yell at you. "
2,"&gt;keep energy high

sounds awful."
3,"I work in a custom framing shop and also run in to people leaving their orders with us for years. Add to that the fact that the owner won't get rid of anything, and it's a nightmare. I finally convinced her to go through old things and make room and I found something that was completed in 2001. SIXTEEN YEARS AGO. Bonus: a super cool glow-in-the-dark constellation chart that had been there since 2006 that I got to take home. "
4,What a great manager. 
5,TIL people think gift cards work on all stores within line of sight.
6,"A customer does this once, there's plausible deniability. Oops a mistake.  But for her to re-apply the wrong label and then attempt again, to purchase it $50 below price, after being told that is not the correct price,  isn't that breaking the law?   I think you'd be in the right to at least 86 her from the store. "
7,I have to ID everyone for M rated games. Some people get so pissed off about it. I know you are over 17 but it's my job to see it. So please from all the retail workers don't throw a fit over it. 
8,"its original, I'll say that"
9,"My store was robbed once. I was the Assistant Manager, my Manager was off somewhere out of the store as usual. I had one employee with me that day. During the early afternoon, I come out of the back room and see two men walk into the store. One stayed by the door as a lookout, the other started walking towards me. In my head, it instantly hit me what was about to happen, but my employee was not paying attention and was organizing the game wall. I was off camera, when I started walking towards my employee and threw out the greeting to the men that came in. I got to my employee leaned in next to him and just told him""brace yourself, were about to get robbed"". I turn around and the guy that was heading towards me is right behind me with the gun already to my face. He gives me the standard ""give me the money"" line so I comply. I head to the registers open them both up and give them the money within both. Luckily it was just about $400 dollars altogether because I had barely made a money drop into the safe before heading into the back room. When he tells me to open the safe, I complied but explained it was on a fifteen minute timer before it would open. The guy decides to take off with his buddy after taking a few game systems too. After they leave I locked the doors, checked on my employee to make sure he was okay, and called the police and district manager. They all come in, the police take their reports and the district manager helps out in whatever way possible. The following morning I come in and my manager came in early in the morning to open the store. He pulls me to the back and has the balls to tell me that I didn't give the guys the store greeting when they walked in and that would have stopped them from going through with the robbery. Mind you I had just come out of the back office and the camera was only pointing at the register, which means he I was not on camera to see if I gave the greeting or not. I quietly got up and told him I was going to go home now and take the rest of the day off and walked out of the store before i decided to hulk out on the guy. Suffice it to say I didn't stay there much longer."
10,"Gotta love a small town sometimes.  I had a angry customer yelling at me while I was alone in the store.  No big deal.  I notice another customer walk in and stand back waiting his turn.  I again tried to explain to angry customer what his options were but he wasn't having it.  He started threatening me.  At that point, the other customer in the store cleared his throat.  Angry customer glanced over his shoulder to look at the other customer.  His eyes got big, he muttered an apology, took the info I offered him, and shuffled out of the store.

The other customer was a police officer who happened to come in to pay his bill."
11,"It reminds me of a bit of an incident at my place of work - not retail, but still customer service (I work in a restaurant). A lady walked in and claimed she had a table booked, but we couldn't find her reservation in our diary. 

Me: Are you absolutely sure you phoned the right telephone number when you booked?

Her: Yes, yes, I googled X Restaurant and phoned the number that came up!

Me: ... But, we're Y Restaurant, not X Restaurant. 

Her: But it says X Restaurant over there! *points out the door and  across the street, to X Restaurant which is on the other side of the road*

Me:... Yes, it says so over there because that's X Restaurant, across the street. We're Y Restaurant, it says so above the door that you walked through. Why would you come in here?

Her: Because it says X Restaurant right over there!!

I just could not speak. She walked out the restaurant and crossed the street to the correct place. I had, and still have, absolutely no words for how bizarre that encounter was. Why would you see the name of the restaurant you want to eat at, and then walk into a different restaurant on the other side of the road with a different name above the door? Was she high and had lost all sense of direction? Was she suffering from memory loss or some sort of mental illness? We will never know."
12,"99% chance of fraud, especially with iTunes cards."
13,"Always use the line ""hey I know you're over 18, however the machine requires I check your ID otherwise it won't let me sell the product. May I have your ID?""

That way if they get upset, they just yell at the machine."
14,"honestly, if someone said that I'd be more likely to give them one."
15,Are you British? Cos it sounds awful to me as well.
16,"Yea ""welcome to used game store how can I help you?"" is totally going to stop a planned robbery. The hell is wrong with these people."
17,"So, he received multiple calls that he needed to come pick up his XBox, and never once did he think that maybe, just maybe, he should call back and check that the store is okay with holding it until December. I mean, the purpose of stores having items is to sell them, not hold them for someone to eventually take. Every paid for item sitting there is taking up room that could go to sellable stock.

Every single year, my Father hid our gifts in the cabinet in his study. He never had an issue, because my brothers and I knew we were not allowed to touch that cabinet, and did not. As parents, it's your job to lay down appropriate rules to keep your kids out of places they shouldn't be. And if they ruin their Christmas surprise, maybe that will teach them a lesson about not poking around their parents' things."
18,"I carded a 92 year old woman while working the door at an upscale cocktail bar. She and her party laughed and loved the interaction and attention.
The very next party of soccer moms I turned away because they didn't bring their IDs.
'Any of us could be your mother.'
Yup and I get paid to card everyone, even my great-great-grandma badass who was prepared."
19,Paid in gas and time. Did she really not have anything better to do?
20,"She'd better be careful - if she gives away too many pieces of her mind, she won't have anything left. Of course, from what you've posted, it sounds like that's already happened."
21,"What kind of complaint is that ""I was told I was free to leave and take my business elsewhere! Unacceptable! I'm going to leave and take my business elsewhere!"""
22,"So basically, they just got their license plate flagged as part of a theft and possibly reported to the police for nothing, all because they weren't smart enough to measure their escape vehicle before attempting to make off with the biggest TV they could grab."
