,text
0,Fuck you.
1,My fucking heart lmao
2,"When they start being able to talk somewhat fluently like asking questions, making comments, etc. that's a good time to stop in my opinion. That's right around where kids start to comprehend and understand a whole lot more. I don't think it's weird at the age your daughter is at all, but some people disagree. It's your daughter and however you wanna raise her is how you should raise her. As long as it's not weird, your wife doesn't think it's weird, and the daughter is happy and healthy, do whatever. "
3,HAHAHA PSYCH YOU TOTALLY GOT US ALL OP YOU'RE SUCH A FUNNY DUDE
4,"It's basically the closest thing to God Mode in real life.

There is **nothing** they can do."
5,"Well, she did not hang up on you and reject further conversation, so that is good.   

Never mention it again and move on.   
Repeat:  do not mention your gaseous habits.   

"
6,If you're interested then you need to act interested.
7,"Flirt from the start. This is what so many guys don't get. It isn't their fault, we are raised to not do that and grew up on media where that's not a ""good"" thing, but it's frankly more honest and productive. Otherwise you quickly stray into Nice Guy^TM territory "
8,Skydiving from a very high altitude butt naked with a massive erection and landing my boner directly inside a small cup of Chobani blueberry yogurt.
9,Roll Tide
10,[deleted]
11,"... My cousins are hot.

edit, this is now my top voted comment of all time. I'll see yall in hell, you incestuous perverts."
12,OP you fuckin dick lol
13,[deleted]
14,"My wife has an incurable form of cancer, but she is being treated to extend her life. At some point the treatments will no longer have an effect and that will be all for her. It could be 20 years or it could happen this year.

One of the lovely side effects of the treatments is that she is in pain a lot of the time and skin is not only sensitive, but even raw in certain areas, if you catch my drift. So sexual relations have been a no go for some time now.

I must say, first off, that I love my wife deeply. However, knowing that her death is inevitable, I find myself checking out other women - some I know well, others are strangers - and fantasizing how it might play out if we were dating/married and, obviously, having sex. There is one in particular that I can't stop thinking about and it is seriously messing with my head. 

I have enormous guilt about it all and am concerned that, if a woman were to come onto me, I might have great difficulty saying no."
15,"yes I think the general agreed upon time is when they start pointing and saying stuff like ""what's that"" while you're showering. "
16,"You're a dick. I just yelled at my wife that I forgot to get my mom a Mother's Day gift. She suspected that I'm retarded, now , thanks to you it's been confirmed "
17,"http://m.imgur.com/gallery/5991n -  Trick friends into thinking you have your shit together

"
18,"When I was pregnant, my guy said ""please try not to get stretch marks. They are really unattractive."""
19,You did me a frighten. 
20,"""Is it all the way in?""
Yes. Yes it was. "
21,"The last few hours before you die of starvation, because at that point your only other outcome is probably death. 

I would implore you to try and not eat anyone on the island and instead make smoke signals or giant help signs on the island with your fellow strandees to catch the attention of the inevitable rescue crew.

And then when everyone else agrees and nods to my suggestion I go in for the kill."
22,"It really depends for me. If you're checking that I'm not a crazy person or a criminal, then I totally understand. If you're checking my credit score or where I live? We've got a problem."
23,http://www.sirc.org/publik/flirt.html
24,As soon as she needs a key or comes and goes without her SO.
25,"lmfao

SHAGGY PLS"
26,Mein schönes Wörterbuch. She often has to help me with German so I call her my beautiful dictionary.
27,"""I'm just being honest""/""I tell it like it is"" 

It's entirely possible to be 100% honest and still be tactful, respectful, and kind. "
28,FUCK YOU OMG I ALMOST CRIED
29,"I stopped when my daughter started wanting to shower on her own.

I think she was 3 or so.

We tend to be a pretty open family, and have never shied away from answering the basic anatomical questions.

My wife had to stop showering with our son quite early.  He got very interested in her boobs (they're spectacular!) very early on, and it made her uncomfortable.

Ultimately, it's your choice.  As long as you're both comfortable enjoy the bonding time.  "
30,"Pros: Your money and time are wholly your own. Growth is easier. You're not tied down and more mobile in your plans.

Cons: Less deep/intimate relationships. Greater proportional living costs/less expendable income (splitting groceries, rent, other costs with an SO saves much more than you'd expect). If you're prone to self-isolation (and don't enjoy that), can get dangerously lonely."
31,"Jesus fuck, kids these days.  If you're not an active drug addict or grieving the accidental skydiving death of your first true love or anything, you're ready for a relationship, if you meet the right person.  Don't overthink, guys.  It's life, it's gonna be messy and you're gonna make mistakes.  You can't learn to swim from the side of the pool."
32,"Pros: my dorm bed isn't really big enough for two people anyway, so I sleep a little better

Cons: I'm very lonely, so I sleep a little worse"
33,When she actually shows she cares about what I have to say.
34,"They need to move out together if she's there that often.

Contributing with food to offset the utilities wouldn't kill her.

This happened to me when I was dating girlfriends with roommates. I used to bring pizza, wings, chocolate, cookies, you name it.

I'd leave a $20 here and there for the utilities."
35,[deleted]
36,"Credit history? 

I'm assuming that the industry you work in has some form of ethical standards. How would your boss feel if you were researching your dates on the jerb?"
37,"Just because the attention from males is new for you to see doesn't mean that it is new for her to experience, and that might be something to remember. You see it as a big deal but she just sees it as boring everyday life, probably a mild annoyance. You already knew that she could cheat if she wanted to, and that's true whether she gets hit on constantly or not. She knows how to turn guys away and if someone wanted to stand out to her that would be a rare person indeed. If you aren't worried about her integrity then this is no threat to you at all."
38,"It's never too soon to teach your kids that nudity is dirty and their body is disgusting and shameful. All physical contact should be regarded as explicitly sexual, ESPECIALLY contact between a grown man and their own children. The sooner your daughter learns that you are a demented pedophile rapist, the better.

(or you could keep doing it as long it's a good thing. I showered with my daughter at swim club until she was about 4)."
39,Not a single thing ever. She's the sweetest girl... except this one time she said she'd bring me some ice cream but she ate it all on the way over.
40,"&gt; small cup 

Heh"
41,"Hi there, 
I still bathe with my daughter she is 4 years old, however when she was about 2years maby 2.5 years old, I started wearing my swimmers in there with her. I still get all that great bonding and can keep doing this for a bit longer whilst she still enjoys having baths together,.

She seems to have a incredible memory, so i thought better she remembers dad being weird wearing shorts in the bath/shower rather than remember my wang.

My wife didn't think there was anything wrong with it, but i gotta choose &amp; set the standard."
42,I WAS BORN THIS WAY AND YOUR MOMMY SAYS IT DOESNT MATTER ANYWAY SO STOP POINTING!
43,"Pro: i can do most things without needing to schedule or anything. I also havent shaved my balls in a long time. And my bedroom is a mess and i dont have to worry about anybody judging me for it. 

Con: im lonely and sad and in desperate need of hugs and kisses and cuddling.  "
44,"""Sometimes you remind me of my mother.""

He's spent many years having no relationship with her so that's pretty harsh."
45,Because NOT IN MY HOUSE
46,It sounds like he has self-esteem issues...
47,"My SO gets pretty jealous, and gets angry whenever I get any sort of male attention. I never indulge in the attention, I just brush it off. One time, a male coworker got a little too close to me and my boyfriend got mad and said ""hey, whatever helps your fucked up self esteem right?"" 
He knows I have self esteem issues and he used it against me. That hurt a lot. "
48,"Crying ""I wish I'd never knew you"""
49,"Occasionally, I think about hate fucking some of my exes very roughly. Like, hardcore porn style hate fucking them and spitting in their mouth. 

I'm not very aggressive in real life. I assume that these thoughts are my brains way of working out aggression without actually harming other people at all. "
