,text
0,"In crowded areas, they can see above the crowd and are much more mobile than other types of police. They are also highly visible to pedestrians which car/foot patrol are not in crowded areas. They can go places cars cannot go, such as patrolling inside parks. They are also effective at crowd control. 

In tourist areas, they project a positive, approachable image for the NYPD and interest the public greatly. 

For on example, a mounted officer thwarted a bomb in Times Square in 2010. "
1,I wish they were just more spatially aware. 
2,"Depending on the person and their vibe, some of my go-tos are:

- Roosevelt Island Tram

- taking the east river ferry down to Brooklyn bridge park walking around and then grabbing food (shake shack, domo taco w/e) and ending at the brooklyn heights promenade around sunset 

- getting day drunk on canned cider at sheep Meadow and then walking down through Central Park 

- going to some inventive but overpriced restaurant in Williamsburg and then walking it off on the Williamsburg bridge and then getting a drink at Mud coffee or wherever once we cross over 

- walking down the highline, getting off to check out the various art galleries if there's anything good on, and then ending up at the Whitney museum. Also like to stop in to check out the latest at Samsung 837 (i love going here, lol even though I know it's a complete advertisement hole, there's just always something fun) and then grabbing ice cream/coffee and people watching at Washington square park

- take the metro north to Fordham, grab some great Italian on Arthur avenue and then take the D to Yankee stadium, walk around and then take the D to 145th to walk down covent street if it's nice, end up near Columbia, grab a bite to eat (Hungarian pastry) and then do the vertical tour of St. John. 

Wow, that was  a lot longer than I intended. Currently stuck in traffic on the bus, so I have time to think of more lol.
"
3,"I AM LIRR, RULER OF OMICRON PERSEI 8."
4,"New York Public Library, 42nd and 5th Avenue. Definitely easy to kill a few hours there. "
5,"""don't stop at the top of the fucking escalator!""
I tell them every time I can. "
6,"Meh, I don't care what they do. They're vital to the city's economy. If you live/work/or hang out in the touristy parts of the city, you should know what you're getting involved in"
7,Please don't hog the sidewalk. There are people here who walk faster than you.  Leave room for them to pass you.
8,Stop telling me about how great open spaces are. I've been to open spaces. There's nothing to do.
9,The hole in the wall chinese food spot in the hood with bulletproof glass between you and the back and rats and roaches running around has legit fried chicken
10,"There was an area in the East village that was Ukranian, and vestiges remain, like the [Ukranian East Vilage Restauran](https://www.yelp.com/biz/ukrainian-east-village-new-york)t, and the [Ukranian Museum](http://www.ukrainianmuseum.org/) and a [Ukranian Catholic church](http://www.brama.com/stgeorge/). However, that population is aging/being pushed out.

There's also a neighborhood, called ""Little Odessa"" in Brighton Beach, which is an active and concentrated Ukranian and Russian neighborhood, with large specialty supermarkets for slavic goods, the crazy supper clubs, [Master Theater](http://mastertheater.com/) etc etc. 
"
11,Hey we're not all tourists waiting for the light to turn for us to cross the street. Sometimes I'm just not in a hurry to get anywhere and don't feel like playing frogger to cross the street. 
12,"to explain more in detail, since possibly OP is thinking of visiting NYC? if you need to stop walking on a busy sidewalk, pull over first so the person behind you doesn't walk into your back / you don't block traffic. if you're on an escalator, walking is on the left, standing is on the right. don't stop at the top of escalators and stairs. move toward the interior of subway cars to make room for those entering, if necessary. on busy train, remove backpacks and don't block empty seats with luggage/groceries/helmets/bags"
13,You should be aware that you're going to probably end up homeless on the street.
14,"Working Girl - because its one of few movies that shows a low-status worker with a long commute (even if that's incidental to the story). 

Seinfeld (tv show) - because most of what New Yorkers do is just hanging around talking about whatever -- not doing exciting stuff (just like life anywhere). Plus their living situations were relatively reasonable compared to most TV shows. Seinfeld was a well-known national comedian and had a small 1 BR apartment... Elaine, a writer,  always had roommates which can be accurate for mid-30s professionals in NYC in her field. 
"
