,text
0,"went on a 2 day mdma bender, sorta just happened"
1,Fuck if it was legal I'd probably drink a brottle of wine a night. Only 8 more months till i can be a functioning alcoholic.
2,Well my username checks out that i want one dollar. Never received a dollar :(
3,"I didn't break any rule, you did instead."
4,Girls don't like me.
5,"Will do when y'all stop fucking smoking in public, y'know where me and my dog walk"
6,But did you guys bang!?
7,"Yeah, that is not a choice. Once you walk in the hospital with contractions, you can’t change your mind and back out."
8,"Not really, you people are exposing us non smokers to it"
9,"I've never kissed, honestly."
10,I thought this type of response was recently banned?
11,Quesadillas sounds like the Mexican name of ant-eaters.
12,"Never did it, never will. I do not think it's a turn on but what do I know I'm a depressed 24 year old virgin XD"
